StartedAt,DownloadedSpeed,UploadedSpeed,Latency,Jitter,DownloadedLatency,DownloadedJitter,UploadedLatency,UploadedJitter
2025-03-05T10:00:01.8162591+00:00,466812891.3131286,459716533.79329574,6.206434999999999,1.1713131052631591,26.3548835,27.662036592592592,6.619781500000006,1.0066163529411778
2025-03-05T10:15:01.8534418+00:00,460349798.9688286,419234674.58817446,6.0963284999999985,1.1080318421052622,27.908798000000004,44.09720940740741,5.966394500000007,1.9581916470588188
2025-03-05T10:45:01.8351345+00:00,475845244.5924496,430482310.6294456,5.538118500000001,1.5812642631578953,57.70999549999999,55.61778844444444,5.752027499999993,2.1063224705882373
2025-03-05T11:00:01.8426181+00:00,478747652.16781175,512836726.89303845,5.858457999999999,1.2209728947368415,54.701115,45.01938170370371,7.101593500000001,26.056270941176475
2025-03-05T11:15:01.8528190+00:00,516269104.4343182,467213878.3156272,5.965671500000001,1.0140374210526317,59.3396875,46.63463848148149,6.081952000000001,25.988828352941173
2025-03-05T11:30:01.8676667+00:00,469044450.6746279,373365450.52418953,6.022574500000001,1.5563893684210524,21.627656500000004,27.77205722222222,6.277805500000024,51.07097223529413
2025-03-05T12:00:01.8913226+00:00,481154141.4839023,435009579.4799721,6.121970000000003,1.7229971052631583,47.1644515,37.99752525925925,6.2167505,1.1026341764705918
2025-03-05T12:15:01.9057226+00:00,485441563.5018523,444260179.75140274,6.065114000000001,1.3120675263157908,70.5774395,36.83333974074074,6.2533745000000005,1.3254377058823528
2025-03-05T12:33:50.9442536+00:00,497381176.4561721,487902579.8273412,6.4524905000000015,1.6480997368421064,63.292648,40.891324740740735,5.937145999999999,25.520049882352943
2025-03-05T13:30:01.8021095+00:00,449641600.4282179,405342901.141748,5.946984000000004,1.591785736842105,32.82479,34.455154111111106,6.390934500000002,27.64533635294117
2025-03-05T13:45:01.8279981+00:00,502002816.1742104,385394646.96543795,6.311365000000002,1.119426052631579,33.7901975,32.04748544444445,6.432667500000002,25.122872882352947
2025-03-05T14:15:01.8219519+00:00,471797610.8143527,441081960.6074355,6.570355500000002,1.1570379473684227,66.066251,59.31911077777778,6.401002500000001,26.214157411764706
2025-03-05T15:00:01.8644578+00:00,486510378.85602844,432358192.8857657,6.076972000000003,1.2920221578947357,41.350487,32.306901370370376,5.968157499999961,26.443981294117645
2025-03-05T15:15:01.8622569+00:00,477758103.10544634,448120837.90346086,6.4360465,1.4467898947368432,25.901701999999997,21.91658544444445,6.188222000000006,26.49898552941177
2025-03-05T15:45:01.8739293+00:00,510966406.77922255,492942793.39259607,6.157122000000001,1.055240526315789,52.379903000000006,81.45088562962962,6.007467999999999,26.427797529411773
2025-03-05T16:00:02.3783329+00:00,499766304.56631845,532885431.9066951,6.048939500000001,1.1294452105263166,37.847798,29.33165544444445,6.4476925000000005,1.0206011764705878
2025-03-05T16:45:01.9560625+00:00,508587153.2497511,476268958.0120428,5.770692500000003,1.2444658421052643,59.141786,30.373854518518517,5.808141499999994,1.072753117647059
2025-03-05T17:30:01.9177391+00:00,495649529.53639984,529858590.5111825,6.291492999999999,1.1279825263157892,20.806186499999995,48.28718196296297,6.095943500000001,25.164433647058825
2025-03-05T20:15:01.9732193+00:00,503875941.3784606,472665651.5776121,5.694947500000001,1.0267982631578947,30.506252999999997,19.346996333333326,6.094032499999997,26.316599
2025-03-05T20:30:01.9882821+00:00,501354271.56349105,476233297.3737076,6.0509425000000014,1.2887413684210505,64.296524,53.07533803703705,6.055823999999998,2.259225588235297
2025-03-05T21:45:02.0082578+00:00,433014306.614116,433978701.22138846,6.013222999999996,1.4021326315789464,56.38172,41.86125533333335,6.492485000000001,1.1841644705882368
2025-03-05T22:00:02.0146124+00:00,492365725.10971737,476794649.30420935,6.347344,1.2129366315789478,40.983200000000004,33.820132962962965,6.447894000000007,25.69046782352941
